Customer Code,Station Code,Name of Station,Name of Licensee Group,Net Total PR Allocation
CPLAN0000,IRYORK,Radio Yorkshire,Plantagenent Media Services,£252.03
CYORK0003,IRYCST,Yorkshire Coast Radio,UKRD Group,"£17,624.31"
CGOLD0026,IRXTRB,FREE RADIO 80'S BIRMINGHAM,Bauer,"£2,875.20"
CXFMM0000,IRXFMM,Radio X Manchester (formerly 97.7 Xfm Manchester),Global Radio,"£30,813.57"
CXFMA0000,IRXFML,Radio X (formerly Xfm London),Global Radio,"£234,743.86"
CWYVE0000,IRWYVN,FREE RADIO HEREFORD AND WORCESTER,Bauer,"£30,186.63"
CWEST0002,IRWSND,West FM,Bauer,"£53,647.07"
CWEST0009,IRWSAM,West Sound AM,Bauer,"£7,160.64"
CWOLF0000,IRWOLF,Signal 107,Wireless Group,"£15,854.09"
CWISH0000,IRWISH,Wish FM,Wireless Group,"£16,503.67"
CWIRE0000,IRWIRE,Wire FM,Wireless Group,"£8,184.02"
CGWRF0001,IRWILT,Heart Swindon 96.3(formerly GWR FM 96.3-Swindon),Global Radio,"£72,277.21"
CGOLD0009,IRWGMS,Smooth Peterborough (formerly Gold 1332 - Peterborough),Global Radio,"£5,027.88"
CGWRF0002,IRWEST,Heart Bristol 97.2 &102.2 (formerly GWR FM 97.2-102.2-Bristol),Global Radio,"£89,154.59"
CWESS0000,IRWESS,Wessex FM,UKRD Group,"£15,184.42"
CSUNF0000,IRWEAR,Sun FM,UKRD Group,"£16,895.12"
CWAVE0004,IRWAVS,Waves Radio,Waves Radio Ltd,"£2,209.09"
CWAVE0000,IRWAVE,Radiowave 96.5 FM Blackpool,Wireless Group,"£21,843.14"
CVIRG0010,IRVXTR,Absolute Radio 80's,Absolute,"£148,442.51"
CREAL0005,IRVRTY,Heart Yorkshire (previously Real Yorkshire),(Communicorp) - Real Radio Yorkshire Ltd,"£134,867.69"
CBIGE0000,IRVMAG,Viking 2 (prev Magic 1161),Bauer,"£4,576.40"
CVIKI0000,IRVKNG,Viking FM,Bauer,"£58,884.03"
CVIKI0001,IRVKN3,Viking 3,Bauer,£504.05
CVIRG0008,IRVIRG,Absoulte 105.8,Bauer,"£217,917.83"
CCELA0000,IRVICT,The Breeze - Portsmouth,Celador,"£11,608.21"
CKISS0005,IRVIBE,Kiss 105-108,Bauer,"£37,010.45"
CVIRG0013,IRVGIN,Virgin Radio UK ,Wireless Group,"£58,619.72"
CVIRG0007,IRVCLA,Absolute Classic Rock,Bauer,"£28,901.62"
CUNIO0002,IRUJCK,Union Jack,(Passion Radio) Jack Media Surrey Ltd,"£4,037.71"
CU1050000,IRU105,U105,U105 Ltd,"£61,959.20"
C2CRA0000,IRTWOC,Heart Dorset 102.3 (formerly 2CR FM),Global Radio,"£42,514.22"
CTOWN0001,IRTWN2,Town 102,Celador,"£7,614.22"
CTOUC0009,IRTWAR,Touch FM Warwick,(Quidem) Touch Warwick Ltd,"£1,684.51"
CTOUC0000,IRTUCH,Banbury Sound,(Quidem) Banbury Broadcasting Co Ltd,"£2,223.57"
CTREN0000,IRTRNT,Trent FM,Global Radio,"£78,831.32"
CTRAX0002,IRTRAX,Trax FM Bassetlaw,Lincs FM Group Limited,"£2,640.97"
CTRAN0004,IRTRAN,Trans World Radio,Trans World Radio,"£1,889.80"
CTOWE0001,IRTOWR,Tower FM,Wireless Group,"£7,854.72"
CSMOO0012,IRTOUC,Smooth Cardiff GMAM (formerly Gold 1305 & 1359 - Cardiff),Global Radio,"£11,708.36"
CTALK0008,IRTLKY,talkRADIO,Wireless Group,"£9,258.40"
CTALK0006,IRTLK2,talkSPORT 2,Wireless Group,"£9,123.12"
CKMFM0004,IRTHNT,KMFM THANET,KM MEDIA GROUP LIMITED,"£3,618.31"
CJACK0000,IRTHAM,Radio Jackie,Radio Jackie Ltd,"£7,845.99"
CTFM30000,IRTFM3,TFM 3,Bauer,£504.05
CTFMR0000,IRTEES,TFM FM,Bauer,"£39,660.32"
CRADI0143,IRTAYM,Radio Tay 2 AM,Bauer,"£5,633.12"
CTAY30000,IRTAY3,Tay 3,Bauer,£504.05
CTAYF0000,IRTAY,Radio Tay 1 FM,Bauer,"£55,775.40"
CSOUT0016,IRSWST,South West Sound,Bauer,"£1,586.65"
CWAVE0003,IRSWAV,Swansea FM (prev The Wave),Wireless Group,"£24,342.05"
CSWAN0002,IRSWAN,Swansea Sound (AM),Wireless Group,"£16,435.38"
CGOLD0016,IRSVSG,Smooth Gloucester (formerly Gold 774 - Gloucester),Global Radio,"£1,007.84"
CSEVE0001,IRSVEN,Q 107 FM,Northern Media,"£3,301.76"
CJUIC0001,IRSURF,Juice FM ,Global Radio,"£6,672.17"
CLYCA0002,IRSUNR,Lyca Radio 1458,Lyca Media II,"£11,143.19"
CSTRA0000,IRSTRY,97.2 Stray FM,UKRD Group,"£27,805.16"
CSPLA0000,IRSPLA,More Radio Worthing (prev Splash FM),(Media Sound Holdings) Splash FM,"£5,637.24"
CSPIR0002,IRSPIT,Spirit FM,UKRD Group,"£10,592.04"
CSPIR0001,IRSPIR,Spire FM,UKRD Group,"£10,155.17"
CSPEC0000,IRSPEC,Spectrum Radio,Spectrum Radio Ltd,"£3,338.71"
CSOVE0000,IRSOVE,More Radio Eastbourne (prev Sovereign Radio),(Media Sound Holdings) Sovereign FM,"£4,453.58"
CGOLD0008,IRSOUT,Smooth Sussex (Gold 1323 & 945 - Sussex),Global Radio,"£4,536.54"
CSOLA0001,IRSORD,Solar Radio,Solar Radio,£504.05
CWAVE0002,IRSOLN,Wave 105,Bauer,"£155,260.68"
CSOUT0011,IRSNEB,Heart Sussex 102.4 & 103.5 (formerly Southern FM),Global Radio,"£116,388.49"
CROCK0007,IRSMOR,Real XS Manchester,(Communicorp) - Real Radio Scotland Ltd,"£9,968.31"
CSMOO0009,IRSMOO,Smooth North East,(Communicorp) - Smooth Radio North East Ltd,"£108,376.65"
CKISS0007,IRSMHD,Kiss Fresh,Bauer,"£10,540.01"
CSMOO0013,IRSMEX,Smooth Extra,Global Radio,"£16,505.71"
CSILK0000,IRSILK,Silk 106,Silk Fm,"£7,288.67"
CSIGN0003,IRSIGN,Signal 1 (FM),Wireless Group,"£66,689.65"
CSIBC0000,IRSHET,SIBC,Shetland Islands Broadcasting Company Ltd,"£1,154.51"
CSIGN0001,IRSGLD,Signal 2 (AM),Wireless Group,"£44,770.87"
CSEVE0003,IRSEVN,Heart Gloucester 102.4 (formerly Severn Sound FM),Global Radio,"£49,855.08"
CSOUT0017,IRSEND,Radio Essex South (prev Southend Radio),(Southend & Chelmsford Radio Ltd),"£4,855.46"
CREAL0003,IRSCOT,Heart Scotland,Global Radio,"£112,658.62"
CGOLD0003,IRSCOA,Smooth Hants (formerly Gold 1170 & 1157 Hants),Global Radio,"£4,623.97"
CSWAN0001,IRSBRC,Swansea Bay Radio (prev Nation Hits!),(Nation Broadcasting) Swansea Bay Radio Ltd,"£4,835.62"
CSMOO0006,IRSAGS,Smooth Radio Scotland,Global Radio,"£67,970.43"
CSMOO0008,IRSAGN,Smooth East Midlands,(Communicorp) - Smooth Radio Midlands Ltd,"£79,365.09"
CSMOO0011,IRSAGA,Smooth Radio West Midlands,Global Radio,"£84,798.72"
CSABR0003,IRSABR,Sabras Sound,Sabras Sound Ltd,"£4,725.48"
CRUTL0000,IRRUTL,Rutland Radio,Lincs FM Group Limited,"£2,634.72"
CRUGB0000,IRRUGB,Rugby FM,(Quidem) Rugby Broadcasting Co Ltd,"£2,879.36"
CROTH0001,IRROTH,Rother FM,Lincs FM Group Limited,"£2,809.47"
CROCK0000,IRROSE,Rock FM,Bauer,"£60,279.74"
CRIDI0000,IRRIDI,Ridings FM,Lincs FM Group Limited,"£3,495.99"
CRADI0124,IRRESS,Radio Essex,(Southend & Chelmsford Radio Ltd),£649.13
CMAGI0008,IRREDG,Rock FM 2 (prev Magin 999),Bauer,"£1,939.17"
CREDD0000,IRREDD,Capital South Wales (formerly Red Dragon FM) ,(Communicorp) - Cardiff Broadcasting Company Ltd,"£63,073.02"
CREAL0004,IRREAL,Heart South Wales (formerly Real South Wales) ,Global Radio,"£141,570.06"
CREAD0002,IRREAD,The Breeze - Reading,Celador,"£6,647.71"
CRADI0131,IRRCT3,Radio City 3,Bauer,£729.59
CROCK0013,IRRCK3,Rock FM 3,Bauer,£549.17
CRAMF0000,IRRAMM,Ram FM,Global Radio,"£34,826.09"
CHEAR0002,IRR106,Gem 106,Bauer,"£135,778.13"
CTHEB0006,IRQUAY,The Breeze - Bridgewater and W.Som,Celador,"£3,143.27"
CKISS0008,IRQDIG,Kisstory,Bauer,"£70,934.81"
CQ1AA0000,IRQ105,Q100.5 FM,Northern Media,"£6,900.24"
CQ1010000,IRQ101,Q101.2 FM,Northern Media,"£6,365.04"
CPREM0003,IRPRGO,Premier Gospel Radio,Premier Christian Radio,"£1,139.84"
CPREM0001,IRPREM,Premier Christian Radio,Premier Christian Radio,"£56,511.05"
CPREM0004,IRPRAI,Premier Praise,Premier Christian Radio,"£1,192.89"
CPOWE0002,IRPOWR,Capital FM Fareham (formerly Galaxy South Coast (formerly Capital South Coast 103.2)),Global Radio,"£55,026.96"
CPIRA0004,IRPOLD,My Music Radio ,UKRD Group,£535.40
CPLYM0000,IRPLYM,Heart Plymouth 97.0 & 96.6 (formerly Plymouth Sound),Global Radio,"£33,153.74"
CRADI0014,IRPLMT,Radio Plymouth,Radio Plymouth Ltd,"£6,325.71"
CPLAN0002,IRPLDG,Planet Rock ,Bauer,"£105,846.72"
CGOLD0001,IRPLAM,Smooth Plymouth (formerly Gold 1152 - Plymouth),Global Radio,"£1,537.25"
CMANC0010,IRPICC,Key 2 (prev Manchester's Magic 1152),Bauer,"£3,925.41"
CPULS0000,IRPENN,Pulse 1 (FM),Wireless Group,"£23,145.88"
CRADI0110,IRPEMB,Radio Pembrokeshire (prev Haven FM),(Nation Broadcasting) Haven FM (Pembrokeshire) Ltd,"£16,563.81"
CPEAK0001,IRPEAK,Peak 107 FM,Wireless Group,"£22,501.69"
CPIRA0002,IRPART,Pirate FM,UKRD Group,"£54,199.89"
CPALM0001,IRPALM,The Breeze South Devon (prev Palm FM 105.5),Celador,"£6,756.21"
COXFO0002,IROXGN,Jack FM2 (formerly Glide FM),Passion Radio,"£4,212.45"
CSGRF0001,IRORWL,Heart Ipswich 96.4 (Bury) (formerly SGR-FM),Global Radio,"£40,426.13"
CORIG0002,IRORIS,Sam FM South (prev Jack FM Solent),Celador,"£9,344.69"
CORIG0001,IRORIB,Sam FM Bristol (prev Jack Bristol),Celador,"£6,473.22"
CORCH0001,IRORCH,Heart Somerset 102.6 (formerly Orchard FM),Global Radio,"£51,767.56"
CORIG0003,IRORAB,Original Aberdeen FM,(New Wave Media) - Original Aberdeen FM Ltd,"£17,165.77"
CREVO0000,IROHAM,Oldham FM,Oldham FM,"£5,040.53"
COCEA0000,IROCSN,Heart Hampshire 97.5 & 96.7 (formerly Ocean FM),Global Radio,"£58,679.69"
CHERT0002,IROASI,Heart 96.6 FM (Watford),(Communicorp) (Adventure Radio) SAWBC Ltd,"£8,664.11"
CLBCN0000,IRNWFM,LBC News 1152 am,Global Radio,"£22,164.78"
CLBCT0000,IRNTLK,LBC Talk 97.3 FM,Global Radio,"£32,158.23"
CNORT0020,IRNSND,Northsound 1 FM,Bauer,"£57,016.38"
CFIRE0000,IRNRG,Fire FM,Celador,"£4,908.70"
CNORW0000,IRNRCH,Radio Norwich 99.9,Celador,"£7,746.74"
CNORT0021,IRNOR2,Northsound 2 AM,Bauer,"£3,476.68"
CNORT0004,IRNONR,North Norfolk Radio,Celador,"£2,448.78"
CNORT0013,IRNOFM,Heart Northamptonshire 96.6 (formerly Northants 96),Global Radio,"£59,151.84"
CGOLD0014,IRNOAM,Smooth Northampton (formerly Classic Gold 1557 - Northants),Global Radio,"£1,101.39"
CKMFM0005,IRNKFM,KMFM WEST KENT,KM MEDIA GROUP LIMITED,"£4,403.10"
CKMFM0002,IRNEPT,KMFM FOLKESTONE,KM MEDIA GROUP LIMITED,"£3,696.15"
CNECR0000,IRNECR,NECR,NECR,"£1,528.97"
CNATI0000,IRNATR,Nation Radio,(Nation Broadcasting) Nation Radio Ltd,"£22,390.23"
CMETR0003,IRMTRO,Metro FM,Bauer,"£114,642.27"
CMETR0004,IRMTR3,Metro Radio 3,Bauer,£662.56
CGOLD0028,IRMSND,Smooth Cheshire (formerly Gold 1260 (Marcher) - Cheshire),Global Radio,"£5,223.80"
CMORA0001,IRMRYA,Moray Firth AM,Bauer,"£15,314.27"
CMERC0003,IRMRCY,Mercury 102.7 FM (Crawley),Global Radio,"£27,142.26"
CMORA0002,IRMORY,Moray Firth FM,Bauer,"£22,800.68"
CMIX90000,IRMIX,Mix 96,UKRD Group,"£9,406.25"
CMINS0000,IRMINS,Minster FM,UKRD Group,"£19,157.30"
CSIXF0000,IRMID,Q 106 FM,Northern Media,"£3,524.28"
CMELL0001,IRMGME,Mellow Magic,Bauer,"£19,243.72"
CEAGL0000,IRMGFD,Eagle Radio,UKRD Group,"£24,013.60"
CMAGI0012,IRMGCH,Magic Chilled ,Bauer,"£6,150.48"
CMFR30000,IRMFR3,MFR 3,Bauer,£504.05
CMFM90000,IRMFMM,Heart Wrexham 103.4 (formerly MFM 103.4),Global Radio,"£14,794.87"
CMERC0002,IRMERC,FREE RADIO COVENTRY & WARWICKSHIRE,Bauer,"£33,168.77"
CGOLD0010,IRMERA,FREE RADIO 80'S COVENTRY,Bauer,"£2,018.22"
CMAGI0003,IRMELY,Magic 105.4,Bauer,"£275,752.76"
CDREA0001,IRMELL,Dream 100,Celador,"£6,282.60"
CKMFM0003,IRMEDW,KMFM MEDWAY,KM MEDIA GROUP LIMITED,"£5,300.81"
CMARC0002,IRMCCT,Heart Wales Coast 96.3 (formerly Marcher Coast 96.3),Global Radio,"£9,578.39"
CFORT0002,IRMAX,Radio Forth 2,Bauer,"£5,439.09"
CMANX0000,IRMANX,Manx FM,Manx,"£16,636.98"
CMANS0001,IRMANS,Mansfield 103.2 FM,Mansfield and Ashfield Broadcasting Ltd,"£8,680.09"
CQ1020000,IRMAID,Q102.9 FM,Northern Media,"£5,637.03"
CMAGI0002,IRMAGD,Magic Digital,Bauer,"£176,103.68"
CMAGI0007,IRMAGC,Radio Aire 2 (prev Magic 828),Bauer,"£7,187.59"
CLINC0002,IRLINC,Lincs FM,Lincs FM Group Limited,"£73,890.85"
CLITE0001,IRLIFM,Connect FM 106.8 (Peterborough),(Communicorp) (Adventure Radio) Connect Radio Ltd,"£2,135.14"
CLEIC0002,IRLEIC,Leicester Sound,Global Radio,"£48,107.21"
CLANT0000,IRLANT,Heart North Devon 96.2 & 97.3 (formerly Lantern FM),Global Radio,"£16,088.55"
CLAKE0001,IRLAKE,Lakeland Radio  ,Global Radio,"£7,131.25"
